,Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Date,Month,Year,Arrival_Hour,Arrival_Minute,Dep_Hour,Dep_Minute
3245,Jet Airways,Delhi,Cochin,550,1.0,In-flight meal not included,10262.0,24,6,2019,4,25,19,15
3246,Multiple carriers,Delhi,Cochin,700,1.0,In-flight meal not included,15136.0,6,3,2019,1,35,13,55
3247,Jet Airways,Banglore,New Delhi,830,1.0,In-flight meal not included,7832.0,21,3,2019,10,25,20,35
3248,SpiceJet,Chennai,Kolkata,135,0.0,No info,3859.0,24,3,2019,10,35,8,20
3249,IndiGo,Kolkata,Banglore,150,0.0,No info,4174.0,6,4,2019,17,45,15,15
3250,Jet Airways,Banglore,New Delhi,340,1.0,No info,19225.0,6,3,2019,11,25,5,45
3251,IndiGo,Delhi,Cochin,975,1.0,No info,10518.0,9,3,2019,21,0,4,45
3252,IndiGo,Banglore,Delhi,175,0.0,No info,4823.0,6,4,2019,10,5,7,10
3253,Air India,Banglore,New Delhi,165,0.0,No info,7276.0,24,3,2019,12,45,10,0
3254,Multiple carriers,Delhi,Cochin,540,1.0,No info,12192.0,9,6,2019,19,0,10,0
3255,Air Asia,Delhi,Cochin,865,1.0,No info,11410.0,1,6,2019,7,10,16,45
3256,Air India,Kolkata,Banglore,920,2.0,No info,13033.0,21,5,2019,1,20,10,0
3257,Jet Airways,Banglore,New Delhi,570,1.0,No info,26890.0,1,3,2019,15,15,5,45
3258,IndiGo,Kolkata,Banglore,150,0.0,No info,4804.0,27,6,2019,17,45,15,15
3259,Jet Airways,Kolkata,Banglore,1550,1.0,In-flight meal not included,10844.0,15,5,2019,20,45,18,55
3260,Air India,Delhi,Cochin,1820,2.0,No info,12436.0,12,6,2019,19,15,12,55
3261,IndiGo,Banglore,Delhi,175,0.0,No info,4823.0,21,6,2019,10,5,7,10
3262,IndiGo,Mumbai,Hyderabad,90,0.0,No info,2227.0,3,6,2019,22,50,21,20
3263,Jet Airways,Delhi,Cochin,940,1.0,In-flight meal not included,10262.0,1,6,2019,12,35,20,55
3264,Jet Airways,Delhi,Cochin,1225,1.0,No info,17024.0,3,3,2019,4,25,8,0
3265,Jet Airways,Delhi,Cochin,1325,2.0,In-flight meal not included,9296.0,27,3,2019,4,25,6,20
3266,Air India,Delhi,Cochin,185,0.0,No info,6094.0,6,6,2019,21,10,18,5
3267,Jet Airways,Kolkata,Banglore,1215,1.0,In-flight meal not included,8586.0,9,6,2019,4,40,8,25
3268,Jet Airways,Delhi,Cochin,1300,2.0,In-flight meal not included,10919.0,15,6,2019,4,25,6,45
3269,GoAir,Kolkata,Banglore,455,1.0,No info,9495.0,9,6,2019,0,15,16,40
3270,Jet Airways,Delhi,Cochin,395,1.0,No info,14714.0,12,6,2019,4,25,21,50
3271,Air India,Delhi,Cochin,180,0.0,No info,5201.0,24,6,2019,17,10,14,10
3272,Air India,Delhi,Cochin,1420,2.0,No info,7090.0,27,3,2019,9,25,9,45
3273,IndiGo,Mumbai,Hyderabad,90,0.0,No info,4575.0,15,5,2019,10,40,9,10
3274,Multiple carriers,Delhi,Cochin,545,1.0,No info,9646.0,15,5,2019,16,10,7,5
3275,IndiGo,Delhi,Cochin,325,1.0,No info,5636.0,12,6,2019,7,25,2,0
3276,Multiple carriers,Delhi,Cochin,545,1.0,No info,9646.0,15,6,2019,16,10,7,5
3277,Jet Airways,Mumbai,Hyderabad,90,0.0,In-flight meal not included,4050.0,9,3,2019,21,10,19,40
3278,Jet Airways,Delhi,Cochin,1270,1.0,No info,14714.0,9,6,2019,19,0,21,50
3279,IndiGo,Kolkata,Banglore,150,0.0,No info,4804.0,18,6,2019,17,45,15,15
3280,Jet Airways,Delhi,Cochin,1485,1.0,In-flight meal not included,10577.0,9,6,2019,19,0,18,15
3281,GoAir,Banglore,Delhi,165,0.0,No info,3898.0,15,6,2019,23,40,20,55
3282,Jet Airways,Kolkata,Banglore,960,1.0,No info,14571.0,6,6,2019,12,0,20,0
3283,Jet Airways,Delhi,Cochin,1300,2.0,In-flight meal not included,10919.0,15,6,2019,4,25,6,45
3284,Jet Airways,Banglore,Delhi,165,0.0,No info,8016.0,18,6,2019,8,45,6,0
3285,IndiGo,Delhi,Cochin,425,1.0,No info,6287.0,21,3,2019,12,0,4,55
3286,Air India,Kolkata,Banglore,905,1.0,No info,8366.0,6,6,2019,7,55,16,50
3287,Jet Airways,Delhi,Cochin,440,1.0,In-flight meal not included,15400.0,6,3,2019,18,50,11,30
3288,Vistara,Banglore,New Delhi,160,0.0,No info,8553.0,3,3,2019,22,20,19,40
3289,SpiceJet,Kolkata,Banglore,155,0.0,No check-in baggage included,3841.0,9,4,2019,9,30,6,55
3290,Air India,Delhi,Cochin,1545,2.0,No info,10021.0,9,4,2019,7,40,5,55
3291,SpiceJet,Chennai,Kolkata,140,0.0,No info,3597.0,24,6,2019,20,5,17,45
3292,IndiGo,Chennai,Kolkata,145,0.0,No info,4332.0,24,5,2019,14,0,11,35
3293,GoAir,Banglore,Delhi,165,0.0,No info,3898.0,21,6,2019,23,40,20,55
3294,Jet Airways,Mumbai,Hyderabad,1665,2.0,No info,21375.0,6,3,2019,16,50,13,5
3295,Vistara,Kolkata,Banglore,975,1.0,No info,8610.0,6,6,2019,23,25,7,10
3296,IndiGo,Kolkata,Banglore,155,0.0,No info,4804.0,15,6,2019,19,50,17,15
3297,Air India,Delhi,Cochin,1730,2.0,No info,13591.0,1,6,2019,19,15,14,25
3298,Jet Airways,Kolkata,Banglore,590,1.0,No info,14781.0,6,5,2019,16,20,6,30
3299,Jet Airways,Banglore,New Delhi,315,1.0,In-flight meal not included,9134.0,15,3,2019,13,15,8,0
3300,Air India,Delhi,Cochin,1545,2.0,No info,10493.0,9,6,2019,7,40,5,55
3301,Jet Airways,Banglore,New Delhi,1280,1.0,In-flight meal not included,8147.0,24,3,2019,9,0,11,40
3302,SpiceJet,Kolkata,Banglore,140,0.0,No info,3873.0,21,6,2019,0,40,22,20
3303,Jet Airways,Kolkata,Banglore,1025,1.0,No info,14571.0,9,6,2019,12,0,18,55
3304,Air India,Banglore,New Delhi,655,2.0,No info,11003.0,3,3,2019,21,25,10,30
3305,Jet Airways,Delhi,Cochin,550,1.0,In-flight meal not included,10262.0,3,6,2019,4,25,19,15
3306,Jet Airways,Delhi,Cochin,995,1.0,No info,12719.0,21,3,2019,18,50,2,15
3307,Jet Airways,Delhi,Cochin,1325,1.0,In-flight meal not included,10262.0,24,6,2019,19,0,20,55
3308,Air India,Banglore,Delhi,165,0.0,No info,7171.0,21,6,2019,19,45,17,0
3309,SpiceJet,Banglore,Delhi,160,0.0,No info,4423.0,27,4,2019,8,35,5,55
3310,Multiple carriers,Delhi,Cochin,490,1.0,In-flight meal not included,12616.0,9,3,2019,1,35,17,25
3311,Air India,Delhi,Cochin,1560,2.0,No info,12970.0,1,6,2019,19,15,17,15
3312,Jet Airways,Kolkata,Banglore,775,1.0,No info,14914.0,24,3,2019,10,5,21,10
3313,Jet Airways,Mumbai,Hyderabad,85,0.0,In-flight meal not included,3210.0,6,5,2019,4,20,2,55
3314,GoAir,Banglore,Delhi,175,0.0,No info,4632.0,21,4,2019,10,40,7,45
3315,Jet Airways,Delhi,Cochin,655,1.0,In-flight meal not included,12373.0,9,5,2019,4,25,17,30
3316,IndiGo,Kolkata,Banglore,150,0.0,No info,4804.0,15,6,2019,16,55,14,25
3317,Multiple carriers,Delhi,Cochin,565,3.0,No info,21829.0,3,3,2019,21,0,11,35
3318,Multiple carriers,Delhi,Cochin,780,1.0,No info,13587.0,1,6,2019,21,0,8,0
3319,Jet Airways,Delhi,Cochin,1760,2.0,No info,12819.0,27,6,2019,4,25,23,5
3320,Air Asia,Delhi,Cochin,660,1.0,No info,6151.0,27,3,2019,7,10,20,10
3321,Jet Airways,Banglore,Delhi,175,0.0,No info,8016.0,1,6,2019,18,10,15,15
3322,Multiple carriers,Delhi,Cochin,680,1.0,No info,15135.0,6,3,2019,18,50,7,30
3323,IndiGo,Delhi,Cochin,500,1.0,No info,6794.0,21,5,2019,1,30,17,10
3324,Vistara,Kolkata,Banglore,1640,1.0,No info,8610.0,15,5,2019,20,20,17,0
3325,Air India,Kolkata,Banglore,1840,2.0,No info,12723.0,18,5,2019,12,30,5,50
3326,Air India,Kolkata,Banglore,1515,1.0,No info,7662.0,6,6,2019,13,15,12,0
3327,Multiple carriers,Delhi,Cochin,515,1.0,No info,14343.0,9,3,2019,1,35,17,0
3328,Multiple carriers,Delhi,Cochin,910,1.0,No info,6795.0,1,6,2019,1,30,10,20
3329,SpiceJet,Kolkata,Banglore,140,0.0,No info,3873.0,9,5,2019,0,40,22,20
3330,IndiGo,Mumbai,Hyderabad,90,0.0,No info,2754.0,12,6,2019,20,35,19,5
3331,Air India,Mumbai,Hyderabad,905,1.0,No info,16666.0,6,3,2019,21,15,6,10
3332,Multiple carriers,Delhi,Cochin,460,1.0,No info,11098.0,1,6,2019,12,35,4,55
3333,Jet Airways,Kolkata,Banglore,1745,1.0,In-flight meal not included,10539.0,9,6,2019,22,5,17,0
3334,Air India,Delhi,Cochin,735,1.0,No info,9929.0,27,5,2019,19,15,7,0
3335,Jet Airways,Kolkata,Banglore,1430,1.0,In-flight meal not included,10844.0,12,5,2019,16,20,16,30
3336,Jet Airways,Kolkata,Banglore,1730,1.0,No info,12692.0,6,6,2019,14,25,9,35
3337,Jet Airways,Delhi,Cochin,455,1.0,In-flight meal not included,9212.0,21,3,2019,4,25,20,50
3338,Multiple carriers,Delhi,Cochin,630,1.0,No info,13727.0,15,5,2019,1,30,15,0
3339,Air Asia,Banglore,Delhi,170,0.0,No info,4282.0,15,6,2019,7,45,4,55
3340,Jet Airways,Kolkata,Banglore,1285,1.0,In-flight meal not included,10844.0,24,5,2019,16,20,18,55
3341,Air India,Delhi,Cochin,965,1.0,No info,7480.0,27,6,2019,9,25,17,20
3342,IndiGo,Banglore,Delhi,180,0.0,No info,4823.0,1,5,2019,19,55,16,55
3343,Jet Airways,Delhi,Cochin,825,1.0,In-flight meal not included,12373.0,18,5,2019,12,35,22,50
3344,Multiple carriers,Delhi,Cochin,560,1.0,No info,7215.0,21,3,2019,21,0,11,40
3345,Air India,Delhi,Cochin,1640,1.0,No info,7480.0,9,5,2019,9,25,6,5
3346,Multiple carriers,Delhi,Cochin,720,1.0,No info,8143.0,24,6,2019,21,0,9,0
3347,IndiGo,Banglore,Delhi,175,0.0,No info,4823.0,3,5,2019,21,20,18,25
3348,Jet Airways,Kolkata,Banglore,735,1.0,In-flight meal not included,10844.0,6,6,2019,8,15,20,0
3349,SpiceJet,Banglore,Delhi,175,0.0,No info,5621.0,12,4,2019,0,5,21,10
3350,Vistara,Kolkata,Banglore,1440,1.0,No info,9555.0,18,5,2019,20,20,20,20
3351,IndiGo,Banglore,New Delhi,165,0.0,No info,4777.0,21,3,2019,4,15,1,30
3352,SpiceJet,Banglore,New Delhi,175,0.0,No info,7648.0,3,3,2019,12,30,9,35
3353,IndiGo,Kolkata,Banglore,295,1.0,No info,10308.0,1,4,2019,14,15,9,20
3354,Jet Airways,Delhi,Cochin,440,2.0,No info,21219.0,24,5,2019,19,0,11,40
3355,IndiGo,Kolkata,Banglore,295,1.0,No info,11319.0,6,5,2019,14,15,9,20
3356,Jet Airways,Kolkata,Banglore,1415,1.0,In-flight meal not included,10844.0,15,5,2019,20,45,21,10
3357,Multiple carriers,Delhi,Cochin,435,1.0,No info,15078.0,9,5,2019,1,30,18,15
3358,SpiceJet,Mumbai,Hyderabad,90,0.0,No info,2017.0,1,5,2019,0,15,22,45
3359,Air Asia,Kolkata,Banglore,150,0.0,No info,4409.0,1,6,2019,1,20,22,50
3360,IndiGo,Delhi,Cochin,275,1.0,No info,5054.0,9,6,2019,12,10,7,35
3361,Air India,Banglore,New Delhi,980,2.0,No info,10111.0,15,3,2019,22,10,5,50
3362,SpiceJet,Banglore,New Delhi,170,0.0,No check-in baggage included,4273.0,18,3,2019,23,20,20,30
3363,Jet Airways,Delhi,Cochin,1735,2.0,In-flight meal not included,8728.0,21,3,2019,18,50,13,55
3364,Air India,Kolkata,Banglore,905,1.0,No info,8576.0,24,5,2019,7,55,16,50
3365,Jet Airways,Banglore,Delhi,180,0.0,No info,8016.0,3,6,2019,20,45,17,45
3366,Jet Airways,Banglore,Delhi,175,0.0,No info,8016.0,9,6,2019,18,10,15,15
3367,Jet Airways,Kolkata,Banglore,1630,1.0,No info,14151.0,18,5,2019,23,35,20,25
3368,IndiGo,Banglore,Delhi,165,0.0,No info,4423.0,15,4,2019,8,50,6,5
3369,Jet Airways,Mumbai,Hyderabad,85,0.0,In-flight meal not included,4050.0,15,6,2019,8,30,7,5
3370,Jet Airways,Kolkata,Banglore,345,1.0,No info,14781.0,6,5,2019,19,50,14,5
3371,Jet Airways,Kolkata,Banglore,735,1.0,In-flight meal not included,8586.0,15,5,2019,8,15,20,0
3372,Air Asia,Kolkata,Banglore,215,1.0,No info,5162.0,21,5,2019,23,30,19,55
3373,Jet Airways,Kolkata,Banglore,450,1.0,No info,13731.0,9,6,2019,4,40,21,10
3374,Jet Airways,Delhi,Cochin,925,1.0,In-flight meal not included,7438.0,21,3,2019,4,25,13,0
3375,Jet Airways,Kolkata,Banglore,1520,1.0,No info,14151.0,15,5,2019,10,55,9,35
3376,Vistara,Banglore,Delhi,170,0.0,No info,5613.0,12,4,2019,23,50,21,0
3377,IndiGo,Kolkata,Banglore,290,1.0,No info,5380.0,15,5,2019,20,5,15,15
3378,Jet Airways,Delhi,Cochin,1015,1.0,In-flight meal not included,7438.0,21,3,2019,4,25,11,30
3379,Multiple carriers,Delhi,Cochin,925,1.0,No info,9646.0,1,6,2019,22,30,7,5
3380,Air Asia,Delhi,Cochin,625,1.0,No info,6853.0,15,5,2019,7,10,20,45
3381,Jet Airways,Banglore,New Delhi,375,1.0,No info,13555.0,18,3,2019,20,20,14,5
3382,IndiGo,Delhi,Cochin,480,1.0,No info,5883.0,15,6,2019,1,30,17,30
3383,IndiGo,Delhi,Cochin,425,1.0,No info,6171.0,9,3,2019,12,0,4,55
3384,IndiGo,Mumbai,Hyderabad,90,0.0,No info,3175.0,21,5,2019,18,25,16,55
3385,IndiGo,Delhi,Cochin,355,1.0,No info,4832.0,27,3,2019,13,40,7,45
3386,Multiple carriers,Delhi,Cochin,570,1.0,No info,13377.0,1,6,2019,1,30,16,0
3387,Jet Airways,Delhi,Cochin,520,1.0,In-flight meal not included,10262.0,24,6,2019,4,25,19,45
3388,Jet Airways,Delhi,Cochin,1100,1.0,In-flight meal not included,10262.0,1,6,2019,12,35,18,15
3389,Air India,Delhi,Cochin,1180,2.0,No info,8603.0,18,5,2019,7,40,12,0
3390,Jet Airways,Kolkata,Banglore,1330,1.0,In-flight meal not included,8586.0,6,6,2019,4,40,6,30
3391,Vistara,Kolkata,Banglore,765,1.0,No info,8452.0,21,5,2019,9,5,20,20
3392,Jet Airways,Kolkata,Banglore,1395,1.0,No info,14231.0,24,3,2019,18,10,18,55
3393,Jet Airways,Delhi,Cochin,660,1.0,No info,16289.0,21,5,2019,19,0,8,0
3394,SpiceJet,Banglore,New Delhi,175,0.0,No info,6860.0,3,3,2019,12,30,9,35
3395,IndiGo,Mumbai,Hyderabad,90,0.0,No info,2754.0,9,5,2019,4,5,2,35
3396,Multiple carriers,Delhi,Cochin,925,1.0,No info,9646.0,9,6,2019,22,30,7,5
3397,Air India,Chennai,Kolkata,135,0.0,No info,4667.0,27,5,2019,13,55,11,40
3398,IndiGo,Kolkata,Banglore,155,0.0,No info,4804.0,21,4,2019,18,5,15,30
3399,IndiGo,Banglore,New Delhi,165,0.0,No info,4545.0,9,3,2019,4,15,1,30
3400,Jet Airways,Banglore,New Delhi,1290,1.0,No info,25735.0,1,3,2019,20,20,22,50
3401,Jet Airways,Delhi,Cochin,1375,2.0,No info,12647.0,21,3,2019,4,25,5,30
3402,Jet Airways,Kolkata,Banglore,1090,1.0,In-flight meal not included,8586.0,1,5,2019,8,15,14,5
3403,IndiGo,Chennai,Kolkata,140,0.0,No info,5277.0,9,6,2019,0,25,22,5
3404,IndiGo,Delhi,Cochin,845,1.0,No info,6206.0,27,3,2019,1,35,11,30
3405,Air Asia,Banglore,Delhi,165,0.0,No info,4483.0,12,4,2019,13,55,11,10
3406,Vistara,Kolkata,Banglore,1550,1.0,No info,9870.0,24,5,2019,18,50,17,0
3407,SpiceJet,Kolkata,Banglore,150,0.0,No check-in baggage included,3841.0,27,6,2019,19,40,17,10
3408,SpiceJet,Kolkata,Banglore,150,0.0,No check-in baggage included,3815.0,27,3,2019,11,30,9,0
3409,IndiGo,Banglore,New Delhi,170,0.0,No info,6860.0,24,3,2019,2,20,23,30
3410,Jet Airways,Kolkata,Banglore,870,1.0,No info,12121.0,1,5,2019,10,55,20,25
3411,Jet Airways,Delhi,Cochin,535,1.0,In-flight meal not included,5963.0,27,3,2019,18,50,9,55
3412,SpiceJet,Banglore,Delhi,160,0.0,No info,3625.0,6,6,2019,8,35,5,55
3413,SpiceJet,Kolkata,Banglore,145,0.0,No check-in baggage included,3841.0,15,6,2019,11,25,9,0
3414,IndiGo,Banglore,Delhi,170,0.0,No info,4823.0,12,6,2019,22,50,20,0
3415,Multiple carriers,Delhi,Cochin,385,1.0,No info,9646.0,12,6,2019,16,10,9,45
3416,Jet Airways,Delhi,Cochin,620,1.0,In-flight meal not included,10152.0,27,5,2019,12,35,2,15
3417,IndiGo,Delhi,Cochin,940,1.0,No info,7514.0,3,6,2019,22,30,6,50
3418,Jet Airways,Banglore,New Delhi,685,1.0,No info,16736.0,6,3,2019,18,25,7,0
3419,Jet Airways,Kolkata,Banglore,910,1.0,No info,13584.0,6,5,2019,10,5,18,55
3420,Air India,Kolkata,Banglore,1415,2.0,No info,11222.0,21,5,2019,7,55,8,20
3421,IndiGo,Chennai,Kolkata,140,0.0,No info,3850.0,1,5,2019,10,15,7,55
3422,Vistara,Banglore,New Delhi,160,0.0,No info,7608.0,24,3,2019,14,40,12,0
3423,Jet Airways,Kolkata,Banglore,1220,1.0,In-flight meal not included,10844.0,12,5,2019,16,20,20,0
3424,Multiple carriers,Delhi,Cochin,510,1.0,No info,7408.0,9,6,2019,1,30,17,0
3425,Vistara,Chennai,Kolkata,135,0.0,No info,3687.0,18,5,2019,9,20,7,5
3426,SpiceJet,Delhi,Cochin,375,1.0,No info,11726.0,3,3,2019,22,50,16,35
3427,Jet Airways,Kolkata,Banglore,1610,1.0,In-flight meal not included,9663.0,6,5,2019,9,20,6,30
3428,Air India,Kolkata,Banglore,1845,2.0,No info,12829.0,24,3,2019,13,45,7,0
3429,IndiGo,Delhi,Cochin,300,1.0,No info,6069.0,27,6,2019,21,0,16,0
3430,Jet Airways,Kolkata,Banglore,1640,1.0,In-flight meal not included,8529.0,12,6,2019,19,50,16,30
3431,Vistara,Kolkata,Banglore,385,1.0,No info,8085.0,9,5,2019,23,25,17,0
3432,Vistara,Banglore,Delhi,165,0.0,No info,4878.0,15,5,2019,22,15,19,30
3433,IndiGo,Banglore,Delhi,170,0.0,No info,4077.0,3,4,2019,15,50,13,0
3434,IndiGo,Kolkata,Banglore,315,1.0,No info,7605.0,9,5,2019,2,15,21,0
3435,Jet Airways,Delhi,Cochin,1375,2.0,No info,13014.0,15,6,2019,4,25,5,30
3436,IndiGo,Delhi,Cochin,885,1.0,No info,11600.0,3,3,2019,22,20,7,35
3437,Jet Airways,Kolkata,Banglore,1005,1.0,No info,14151.0,12,5,2019,9,45,17,0
3438,Air India,Delhi,Cochin,1105,2.0,No info,12497.0,24,6,2019,7,40,13,15
3439,Jet Airways,Delhi,Cochin,995,1.0,No info,17024.0,6,3,2019,18,50,2,15
3440,SpiceJet,Chennai,Kolkata,155,0.0,No info,6300.0,9,3,2019,12,5,9,30
3441,Multiple carriers,Delhi,Cochin,470,1.0,No info,15147.0,6,3,2019,1,35,17,45
3442,Multiple carriers,Delhi,Cochin,760,1.0,No info,6795.0,1,6,2019,1,30,12,50
3443,IndiGo,Mumbai,Hyderabad,85,0.0,No info,5755.0,3,3,2019,20,30,19,5
3444,Air India,Kolkata,Banglore,1185,1.0,No info,10203.0,12,5,2019,16,15,20,30
3445,Jet Airways,Delhi,Cochin,1015,1.0,No info,14714.0,6,6,2019,4,25,11,30
3446,IndiGo,Banglore,New Delhi,170,0.0,No info,4545.0,18,3,2019,1,10,22,20
3447,Jet Airways,Kolkata,Banglore,855,1.0,No info,14781.0,15,5,2019,20,45,6,30
3448,Air India,Banglore,New Delhi,1655,2.0,No info,11602.0,12,3,2019,11,5,7,30
3449,IndiGo,Mumbai,Hyderabad,90,0.0,No info,4049.0,6,5,2019,7,55,6,25
3450,Jet Airways,Delhi,Cochin,1375,2.0,In-flight meal not included,13029.0,9,5,2019,4,25,5,30
3451,Jet Airways,Kolkata,Banglore,740,1.0,No info,14571.0,9,6,2019,20,45,8,25
3452,Air India,Banglore,Delhi,165,0.0,No info,6961.0,9,6,2019,8,55,6,10
3453,SpiceJet,Kolkata,Banglore,520,1.0,No info,6381.0,15,5,2019,17,15,8,35
3454,SpiceJet,Kolkata,Banglore,155,0.0,No check-in baggage included,3841.0,1,4,2019,9,30,6,55
3455,Jet Airways,Delhi,Cochin,1325,2.0,No info,11538.0,21,3,2019,4,25,6,20
3456,Vistara,Kolkata,Banglore,1440,1.0,No info,8610.0,6,5,2019,20,20,20,20
3457,Air India,Delhi,Cochin,2170,2.0,No info,11552.0,6,3,2019,19,15,7,5
3458,Multiple carriers,Delhi,Cochin,840,1.0,No info,7408.0,1,6,2019,21,0,7,0
3459,Jet Airways,Delhi,Cochin,1010,1.0,In-flight meal not included,10262.0,27,6,2019,12,35,19,45
3460,Air India,Kolkata,Banglore,1625,2.0,No info,10991.0,6,5,2019,8,55,5,50
3461,Multiple carriers,Delhi,Cochin,435,1.0,No info,13587.0,9,6,2019,1,30,18,15
3462,Air India,Delhi,Cochin,1255,1.0,No info,7480.0,15,5,2019,9,25,12,30
3463,IndiGo,Banglore,New Delhi,300,1.0,No info,6351.0,9,3,2019,22,55,17,55
3464,Multiple carriers,Delhi,Cochin,420,1.0,In-flight meal not included,7153.0,27,5,2019,21,0,14,0
3465,Air Asia,Kolkata,Banglore,150,0.0,No info,4409.0,6,5,2019,22,25,19,55
3466,IndiGo,Kolkata,Banglore,315,1.0,No info,7228.0,15,5,2019,2,15,21,0
3467,Multiple carriers,Delhi,Cochin,650,1.0,No info,11667.0,27,3,2019,18,50,8,0
3468,SpiceJet,Kolkata,Banglore,315,1.0,No info,4649.0,12,6,2019,20,20,15,5
3469,Air India,Kolkata,Banglore,1255,2.0,No info,12592.0,9,5,2019,13,45,16,50
3470,Multiple carriers,Delhi,Cochin,520,1.0,No info,11789.0,12,6,2019,19,0,10,20
3471,Air India,Chennai,Kolkata,135,0.0,No info,4667.0,1,6,2019,13,55,11,40
3472,Air Asia,Kolkata,Banglore,720,1.0,No info,9719.0,21,5,2019,10,40,22,40
3473,Air India,Delhi,Cochin,375,1.0,No info,6902.0,27,3,2019,19,15,13,0
3474,Jet Airways,Kolkata,Banglore,520,1.0,No info,14781.0,21,5,2019,4,40,20,0
3475,Jet Airways,Kolkata,Banglore,850,1.0,In-flight meal not included,10844.0,18,5,2019,22,35,8,25
3476,Air India,Kolkata,Banglore,1975,2.0,No info,11522.0,24,3,2019,14,35,5,40
3477,Air India,Banglore,Delhi,170,0.0,No info,6121.0,21,4,2019,16,10,13,20
3478,Vistara,Kolkata,Banglore,385,1.0,No info,8610.0,6,6,2019,23,25,17,0
3479,Air Asia,Kolkata,Banglore,150,0.0,No info,5620.0,24,3,2019,1,20,22,50
3480,IndiGo,Kolkata,Banglore,150,0.0,No info,4804.0,27,5,2019,17,45,15,15
3481,Multiple carriers,Delhi,Cochin,640,1.0,No info,7005.0,27,5,2019,21,0,10,20
3482,Jet Airways,Delhi,Cochin,1195,2.0,No info,15129.0,1,5,2019,19,0,23,5
3483,Jet Airways,Kolkata,Banglore,520,1.0,In-flight meal not included,8586.0,24,5,2019,4,40,20,0
3484,Multiple carriers,Delhi,Cochin,660,1.0,No info,10197.0,18,5,2019,19,0,8,0
3485,Multiple carriers,Delhi,Cochin,605,1.0,No info,10667.0,27,3,2019,19,15,9,10
3486,IndiGo,Kolkata,Banglore,295,1.0,No info,11160.0,12,6,2019,14,15,9,20
3487,Air India,Delhi,Cochin,1855,2.0,No info,12488.0,27,5,2019,19,15,12,20
3488,Jet Airways,Kolkata,Banglore,685,1.0,In-flight meal not included,10844.0,18,5,2019,19,50,8,25
3489,Air India,Delhi,Cochin,1595,2.0,No info,9968.0,3,6,2019,19,15,16,40
3490,Jet Airways,Banglore,Delhi,185,0.0,In-flight meal not included,5198.0,18,5,2019,22,0,18,55
3491,Jet Airways,Kolkata,Banglore,875,1.0,In-flight meal not included,8586.0,1,5,2019,4,40,14,5
3492,IndiGo,Chennai,Kolkata,145,0.0,No info,4332.0,18,5,2019,14,0,11,35
3493,IndiGo,Kolkata,Banglore,290,1.0,No info,5069.0,6,5,2019,13,0,8,10
3494,Jet Airways,Banglore,Delhi,180,0.0,In-flight meal not included,4544.0,6,5,2019,11,20,8,20
3495,Multiple carriers,Delhi,Cochin,690,1.0,No info,14973.0,3,3,2019,15,30,4,0
3496,Air India,Banglore,New Delhi,2120,3.0,No info,13387.0,12,3,2019,18,5,6,45
3497,SpiceJet,Banglore,Delhi,160,0.0,No info,3625.0,9,6,2019,8,35,5,55
3498,Jet Airways,Kolkata,Banglore,1730,1.0,In-flight meal not included,10703.0,24,5,2019,14,25,9,35
3499,IndiGo,Kolkata,Banglore,155,0.0,No info,7615.0,24,3,2019,17,45,15,10
3500,IndiGo,Banglore,Delhi,175,0.0,No info,4823.0,27,5,2019,21,20,18,25
3501,Jet Airways,Banglore,New Delhi,1045,1.0,No info,16736.0,6,3,2019,5,5,11,40
3502,Jet Airways,Kolkata,Banglore,890,1.0,In-flight meal not included,9663.0,9,5,2019,12,0,21,10
3503,Multiple carriers,Delhi,Cochin,630,1.0,No info,9205.0,18,5,2019,19,0,8,30
3504,Jet Airways,Delhi,Cochin,335,1.0,No info,15554.0,9,5,2019,4,25,22,50
3505,SpiceJet,Mumbai,Hyderabad,90,0.0,No check-in baggage included,1965.0,15,5,2019,0,15,22,45
3506,Air India,Kolkata,Banglore,150,0.0,No info,5510.0,15,6,2019,16,45,14,15
3507,Multiple carriers,Delhi,Cochin,535,1.0,No info,8266.0,9,5,2019,19,15,10,20
3508,IndiGo,Mumbai,Hyderabad,90,0.0,No info,3175.0,27,5,2019,18,25,16,55
3509,SpiceJet,Delhi,Cochin,270,1.0,No check-in baggage included,4760.0,9,5,2019,13,15,8,45
3510,Multiple carriers,Delhi,Cochin,735,1.0,No info,7740.0,27,5,2019,21,0,8,45
3511,Jet Airways,Kolkata,Banglore,570,1.0,No info,13941.0,15,5,2019,23,35,14,5
3512,Air Asia,Delhi,Cochin,865,1.0,No info,11410.0,6,6,2019,7,10,16,45
3513,Jet Airways,Kolkata,Banglore,1640,1.0,No info,12681.0,1,4,2019,19,50,16,30
3514,Jet Airways,Delhi,Cochin,1615,2.0,No info,15129.0,6,5,2019,12,35,9,40
3515,Jet Airways,Delhi,Cochin,810,2.0,In-flight meal not included,10368.0,12,6,2019,19,0,5,30
3516,Air India,Kolkata,Banglore,725,2.0,No info,12324.0,21,5,2019,20,25,8,20
3517,SpiceJet,Kolkata,Banglore,150,0.0,No check-in baggage included,3841.0,15,4,2019,19,40,17,10
3518,Jet Airways,Delhi,Cochin,1375,2.0,No info,13014.0,24,6,2019,4,25,5,30
3519,IndiGo,Delhi,Cochin,940,1.0,No info,6442.0,27,6,2019,22,30,6,50
